# feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12
0.02885,0.20198,0.67686,0.00107,0.00107,0.00000,-0.00141,0.67686,0.20198,0.03395,0.00967,0.00322,0.00645
0.02550,0.17850,0.68362,0.00095,0.00095,0.00000,-0.00081,0.68362,0.17850,0.02905,0.00855,0.00285,0.00570
0.03264,0.22848,0.66807,0.00000,0.00134,0.00134,-0.00217,0.66807,0.22848,0.03848,0.01603,0.00401,0.01203
0.02115,0.14808,0.69105,0.00000,0.00000,0.00082,0.00015,0.69105,0.14808,0.02287,0.00740,0.00247,0.00494
0.03357,0.23497,0.66597,0.00126,0.00000,0.00126,-0.00252,0.66597,0.23497,0.03468,0.01131,0.00377,0.00754
0.02511,0.17580,0.68424,0.00000,0.00000,0.00105,0.00011,0.68424,0.17580,0.03242,0.00947,0.00316,0.00632
0.02445,0.17112,0.68547,0.00000,0.00000,0.00000,-0.00002,0.68547,0.17112,0.03150,0.00875,0.00292,0.00583
0.02112,0.14785,0.69106,0.00080,0.00080,0.00080,-0.00006,0.69106,0.14785,0.02137,0.01205,0.00241,0.00964
0.03484,0.24385,0.66263,0.00133,0.00133,0.00133,-0.00276,0.66263,0.24385,0.03817,0.01193,0.00398,0.00795
0.02766,0.19361,0.67934,0.00000,0.00000,0.00000,-0.00045,0.67934,0.19361,0.03329,0.01019,0.00340,0.00679
0.01980,0.13861,0.69304,0.00000,0.00000,0.00000,0.00071,0.69304,0.13861,0.02356,0.00385,0.00077,0.00308
0.02434,0.17038,0.68566,0.00000,0.00000,0.00104,0.00063,0.68566,0.17038,0.03200,0.00623,0.00104,0.00519
0.02240,0.15677,0.68912,0.00000,0.00000,0.00086,-0.00022,0.68912,0.15677,0.02377,0.00258,0.00086,0.00172
0.01657,0.11602,0.69729,0.00000,0.00057,0.00057,-0.00001,0.69729,0.11602,0.01932,0.00171,0.00057,0.00114
0.01449,0.10145,0.69965,0.00000,0.00050,0.00050,0.00035,0.69965,0.10145,0.01339,0.00150,0.00050,0.00100
0.02379,0.16655,0.68679,0.00086,0.00000,0.00086,-0.00092,0.68679,0.16655,0.02369,0.00429,0.00086,0.00343
0.02179,0.15250,0.69009,0.00000,0.00000,0.00085,0.00007,0.69009,0.15250,0.02351,0.00256,0.00085,0.00170
0.02285,0.15998,0.68828,0.00000,0.00000,0.00093,0.00030,0.68828,0.15998,0.02865,0.00279,0.00093,0.00186
0.01815,0.12708,0.69534,0.00060,0.00000,0.00060,-0.00053,0.69534,0.12708,0.01918,0.00180,0.00060,0.00120
0.02021,0.14145,0.69252,0.00000,0.00000,0.00074,-0.00023,0.69252,0.14145,0.02019,0.00221,0.00074,0.00147
0.02324,0.16271,0.68773,0.00084,0.00000,0.00000,-0.00061,0.68773,0.16271,0.02348,0.00252,0.00084,0.00168
0.02801,0.19605,0.67864,0.00000,0.00000,0.00116,-0.00084,0.67864,0.19605,0.03503,0.00348,0.00116,0.00232
0.01990,0.13931,0.69292,0.00000,0.00072,0.00072,-0.00021,0.69292,0.13931,0.02266,0.00144,0.00000,0.00144
0.01793,0.12548,0.69565,0.00000,0.00065,0.00065,0.00015,0.69565,0.12548,0.01781,0.00195,0.00065,0.00130
0.02071,0.14497,0.69176,0.00074,0.00000,0.00000,-0.00030,0.69176,0.14497,0.02016,0.00662,0.00221,0.00442
0.01980,0.13861,0.69304,0.00071,0.00000,0.00000,-0.00012,0.69304,0.13861,0.02362,0.00212,0.00071,0.00141
0.02070,0.14487,0.69176,0.00072,0.00000,0.00072,-0.00058,0.69176,0.14487,0.02274,0.00362,0.00072,0.00290
0.01968,0.13773,0.69322,0.00077,0.00077,0.00000,0.00074,0.69322,0.13773,0.02341,0.00230,0.00077,0.00153
0.02023,0.14164,0.69244,0.00079,0.00079,0.00000,0.00062,0.69244,0.14164,0.02235,0.00236,0.00079,0.00157
0.03554,0.24878,0.66081,0.00130,0.00000,0.00000,-0.00257,0.66081,0.24878,0.03732,0.01166,0.00389,0.00777
0.02797,0.19578,0.67857,0.00000,0.00000,0.00111,-0.00118,0.67857,0.19578,0.03426,0.01669,0.00334,0.01335
0.02166,0.15160,0.69033,0.00068,0.00000,0.00068,-0.00135,0.69033,0.15160,0.01976,0.00609,0.00203,0.00406
0.01597,0.11179,0.69797,0.00059,0.00000,0.00059,0.00073,0.69797,0.11179,0.02047,0.00177,0.00059,0.00118
0.01844,0.12911,0.69497,0.00062,0.00000,0.00062,-0.00049,0.69497,0.12911,0.01779,0.00556,0.00185,0.00371
0.02661,0.18629,0.68130,0.00000,0.00000,0.00000,-0.00046,0.68130,0.18629,0.03343,0.01597,0.00319,0.01277
0.02948,0.20633,0.67548,0.00123,0.00000,0.00000,-0.00072,0.67548,0.20633,0.03660,0.00737,0.00123,0.00614
0.02416,0.16910,0.68605,0.00000,0.00000,0.00000,0.00012,0.68605,0.16910,0.02957,0.00290,0.00097,0.00193
0.01530,0.10707,0.69874,0.00050,0.00050,0.00050,-0.00012,0.69874,0.10707,0.01498,0.00905,0.00151,0.00754
0.02187,0.15308,0.68995,0.00072,0.00072,0.00000,-0.00092,0.68995,0.15308,0.02300,0.00647,0.00216,0.00431
0.01969,0.13786,0.69317,0.00000,0.00000,0.00077,0.00054,0.69317,0.13786,0.02357,0.00693,0.00231,0.00462
0.01844,0.12905,0.69488,0.00000,0.00000,0.00071,0.00062,0.69488,0.12905,0.02368,0.00638,0.00213,0.00425
0.01386,0.09703,0.70027,0.00046,0.00046,0.00000,0.00026,0.70027,0.09703,0.01501,0.00137,0.00046,0.00092
0.01423,0.09958,0.69989,0.00047,0.00047,0.00047,0.00008,0.69989,0.09958,0.01597,0.00141,0.00047,0.00094
0.02443,0.17100,0.68573,0.00087,0.00000,0.00087,-0.00110,0.68573,0.17100,0.02187,0.00087,0.00087,0.00000
0.01785,0.12497,0.69574,0.00064,0.00064,0.00000,0.00029,0.69574,0.12497,0.01791,0.00387,0.00064,0.00322
0.02174,0.15215,0.69015,0.00078,0.00078,0.00000,-0.00036,0.69015,0.15215,0.02447,0.00157,0.00000,0.00157
0.02504,0.17526,0.68443,0.00000,0.00000,0.00000,0.00042,0.68443,0.17526,0.03194,0.00415,0.00104,0.00311
0.01939,0.13574,0.69362,0.00000,0.00000,0.00075,0.00042,0.69362,0.13574,0.02282,0.00447,0.00075,0.00373
0.01693,0.11853,0.69687,0.00000,0.00000,0.00000,0.00024,0.69687,0.11853,0.01906,0.00179,0.00060,0.00119
0.02643,0.18498,0.68196,0.00085,0.00000,0.00085,-0.00181,0.68196,0.18498,0.02489,0.00767,0.00256,0.00511
0.02432,0.17026,0.68589,0.00081,0.00081,0.00000,-0.00121,0.68589,0.17026,0.02308,0.00161,0.00000,0.00161
0.01845,0.12916,0.69495,0.00066,0.00000,0.00066,-0.00011,0.69495,0.12916,0.01928,0.00197,0.00066,0.00131
0.02795,0.19565,0.67880,0.00100,0.00000,0.00000,-0.00141,0.67880,0.19565,0.03314,0.00299,0.00100,0.00200
0.02125,0.14875,0.69092,0.00000,0.00000,0.00081,-0.00003,0.69092,0.14875,0.02260,0.00488,0.00081,0.00406
0.01931,0.13520,0.69372,0.00071,0.00000,0.00000,0.00017,0.69372,0.13520,0.02364,0.00212,0.00071,0.00142
0.01351,0.09458,0.70062,0.00000,0.00000,0.00000,0.00019,0.70062,0.09458,0.01322,0.00131,0.00044,0.00088
0.02591,0.18137,0.68279,0.00000,0.00000,0.00107,-0.00034,0.68279,0.18137,0.03350,0.00320,0.00107,0.00213
0.02647,0.18531,0.68170,0.00096,0.00000,0.00096,-0.00135,0.68170,0.18531,0.02900,0.01440,0.00288,0.01152
0.01573,0.11012,0.69829,0.00054,0.00000,0.00054,0.00006,0.69829,0.11012,0.01654,0.00161,0.00054,0.00107
0.01844,0.12905,0.69490,0.00000,0.00000,0.00071,0.00062,0.69490,0.12905,0.02368,0.00213,0.00071,0.00142
0.01844,0.12905,0.69490,0.00000,0.00000,0.00000,0.00085,0.69490,0.12905,0.02368,0.00213,0.00071,0.00142
0.01266,0.08864,0.70139,0.00000,0.00000,0.00043,0.00056,0.70139,0.08864,0.01420,0.00387,0.00129,0.00258
0.03340,0.23379,0.66635,0.00113,0.00000,0.00000,-0.00236,0.66635,0.23379,0.03682,0.01016,0.00339,0.00678
0.02496,0.17469,0.68448,0.00102,0.00000,0.00000,0.00026,0.68448,0.17469,0.03453,0.00919,0.00306,0.00613
0.02730,0.19107,0.68009,0.00108,0.00000,0.00000,-0.00074,0.68009,0.19107,0.03411,0.00324,0.00108,0.00216
0.01862,0.13033,0.69462,0.00000,0.00000,0.00000,0.00082,0.69462,0.13033,0.02249,0.01074,0.00215,0.00859
0.01453,0.10171,0.69959,0.00000,0.00000,0.00054,0.00103,0.69959,0.10171,0.01561,0.00269,0.00054,0.00215
0.02943,0.20601,0.67562,0.00111,0.00000,0.00000,-0.00148,0.67562,0.20601,0.03411,0.00997,0.00332,0.00665
0.01726,0.12084,0.69645,0.00000,0.00000,0.00060,-0.00012,0.69645,0.12084,0.01905,0.00536,0.00179,0.00357
0.02120,0.14841,0.69099,0.00000,0.00079,0.00000,-0.00008,0.69099,0.14841,0.02230,0.00707,0.00236,0.00471
0.02983,0.20878,0.67484,0.00105,0.00000,0.00000,-0.00172,0.67484,0.20878,0.03311,0.00316,0.00105,0.00211
0.01866,0.13063,0.69463,0.00069,0.00000,0.00000,0.00039,0.69463,0.13063,0.02129,0.00622,0.00207,0.00415
0.02486,0.17405,0.68479,0.00095,0.00000,0.00095,-0.00078,0.68479,0.17405,0.03005,0.00285,0.00095,0.00190
0.02785,0.19494,0.67899,0.00000,0.00000,0.00110,-0.00123,0.67899,0.19494,0.03395,0.00329,0.00110,0.00219
0.01568,0.10974,0.69833,0.00000,0.00000,0.00053,-0.00006,0.69833,0.10974,0.01754,0.00315,0.00000,0.00315
0.02266,0.15862,0.68866,0.00077,0.00000,0.00077,-0.00102,0.68866,0.15862,0.02414,0.00696,0.00232,0.00464
0.02043,0.14298,0.69218,0.00076,0.00076,0.00076,-0.00015,0.69218,0.14298,0.02088,0.00378,0.00076,0.00303
0.02268,0.15873,0.68866,0.00084,0.00084,0.00000,-0.00034,0.68866,0.15873,0.02352,0.00420,0.00084,0.00336
0.01491,0.10438,0.69921,0.00050,0.00000,0.00000,0.00020,0.69921,0.10438,0.01338,0.00449,0.00150,0.00300
0.01449,0.10145,0.69965,0.00050,0.00000,0.00050,0.00035,0.69965,0.10145,0.01339,0.00150,0.00050,0.00100
0.01618,0.11325,0.69772,0.00054,0.00054,0.00000,-0.00005,0.69772,0.11325,0.01889,0.00805,0.00161,0.00644
0.02482,0.17374,0.68472,0.00102,0.00000,0.00102,-0.00005,0.68472,0.17374,0.03454,0.00920,0.00307,0.00613
0.01763,0.12339,0.69603,0.00063,0.00063,0.00063,0.00012,0.69603,0.12339,0.01645,0.00569,0.00190,0.00380
0.01703,0.11918,0.69673,0.00061,0.00061,0.00061,0.00023,0.69673,0.11918,0.01944,0.00550,0.00183,0.00367
0.01844,0.12905,0.69490,0.00000,0.00000,0.00071,0.00062,0.69490,0.12905,0.02368,0.00355,0.00071,0.00284
0.03467,0.24270,0.66312,0.00133,0.00000,0.00000,-0.00247,0.66312,0.24270,0.03820,0.00663,0.00133,0.00530
0.01935,0.13542,0.69375,0.00067,0.00000,0.00067,-0.00046,0.69375,0.13542,0.01894,0.00200,0.00067,0.00133
0.02341,0.16387,0.68744,0.00080,0.00000,0.00080,-0.00113,0.68744,0.16387,0.02382,0.00400,0.00080,0.00320
