# feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12
0.01980,0.13862,0.69309,0.00000,0.00000,0.00000,0.00071,0.69309,0.13862,0.02033,0.00385,0.00077,0.00308
0.02434,0.17038,0.68567,0.00000,0.00000,0.00104,0.00063,0.68567,0.17038,0.03137,0.00623,0.00104,0.00519
0.02240,0.15679,0.68917,0.00000,0.00000,0.00086,-0.00022,0.68917,0.15679,0.02033,0.00258,0.00086,0.00172
0.01657,0.11602,0.69729,0.00000,0.00057,0.00057,-0.00001,0.69729,0.11602,0.01943,0.00171,0.00057,0.00114
0.01449,0.10145,0.69965,0.00000,0.00050,0.00050,0.00035,0.69965,0.10145,0.01349,0.00150,0.00050,0.00100
0.02379,0.16656,0.68684,0.00086,0.00000,0.00086,-0.00092,0.68684,0.16656,0.02026,0.00429,0.00086,0.00343
0.02179,0.15251,0.69014,0.00000,0.00000,0.00085,0.00007,0.69014,0.15251,0.02011,0.00256,0.00085,0.00170
0.02285,0.15998,0.68828,0.00000,0.00000,0.00093,0.00030,0.68828,0.15998,0.02865,0.00279,0.00093,0.00186
0.01815,0.12708,0.69534,0.00060,0.00000,0.00060,-0.00053,0.69534,0.12708,0.01918,0.00180,0.00060,0.00120
0.02021,0.14145,0.69250,0.00000,0.00000,0.00074,-0.00023,0.69250,0.14145,0.02136,0.00221,0.00074,0.00147
0.02325,0.16272,0.68780,0.00084,0.00000,0.00000,-0.00061,0.68780,0.16272,0.01845,0.00252,0.00084,0.00168
0.02801,0.19607,0.67872,0.00000,0.00000,0.00116,-0.00084,0.67872,0.19607,0.03156,0.00348,0.00116,0.00232
0.01990,0.13931,0.69294,0.00000,0.00072,0.00072,-0.00021,0.69294,0.13931,0.02093,0.00144,0.00000,0.00144
0.01793,0.12548,0.69565,0.00000,0.00065,0.00065,0.00015,0.69565,0.12548,0.01781,0.00195,0.00065,0.00130
0.02071,0.14497,0.69174,0.00074,0.00000,0.00000,-0.00030,0.69174,0.14497,0.02134,0.00662,0.00221,0.00442
0.01980,0.13861,0.69304,0.00071,0.00000,0.00000,-0.00012,0.69304,0.13861,0.02362,0.00212,0.00071,0.00141
0.02070,0.14488,0.69178,0.00072,0.00000,0.00072,-0.00058,0.69178,0.14488,0.02101,0.00362,0.00072,0.00290
0.01968,0.13774,0.69327,0.00077,0.00077,0.00000,0.00074,0.69327,0.13774,0.02020,0.00230,0.00077,0.00153
0.02023,0.14164,0.69248,0.00079,0.00079,0.00000,0.00062,0.69248,0.14164,0.02014,0.00236,0.00079,0.00157
0.03554,0.24875,0.66075,0.00130,0.00000,0.00000,-0.00257,0.66075,0.24875,0.03990,0.01166,0.00389,0.00777
0.02797,0.19580,0.67861,0.00000,0.00000,0.00111,-0.00118,0.67861,0.19580,0.03226,0.01669,0.00334,0.01335
0.02166,0.15160,0.69031,0.00068,0.00000,0.00068,-0.00135,0.69031,0.15160,0.02098,0.00609,0.00203,0.00406
0.01597,0.11179,0.69796,0.00059,0.00000,0.00059,0.00073,0.69796,0.11179,0.02118,0.00177,0.00059,0.00118
0.01844,0.12911,0.69496,0.00062,0.00000,0.00062,-0.00049,0.69496,0.12911,0.01841,0.00556,0.00185,0.00371
0.02661,0.18629,0.68127,0.00000,0.00000,0.00000,-0.00046,0.68127,0.18629,0.03449,0.01597,0.00319,0.01277
0.02947,0.20632,0.67545,0.00123,0.00000,0.00000,-0.00072,0.67545,0.20632,0.03783,0.00737,0.00123,0.00614
0.02416,0.16910,0.68607,0.00000,0.00000,0.00000,0.00012,0.68607,0.16910,0.02860,0.00290,0.00097,0.00193
0.01530,0.10707,0.69874,0.00050,0.00050,0.00050,-0.00012,0.69874,0.10707,0.01478,0.00905,0.00151,0.00754
0.02187,0.15308,0.68994,0.00072,0.00072,0.00000,-0.00092,0.68994,0.15308,0.02357,0.00647,0.00216,0.00431
0.01970,0.13787,0.69322,0.00000,0.00000,0.00077,0.00054,0.69322,0.13787,0.02033,0.00693,0.00231,0.00462
0.01844,0.12905,0.69488,0.00000,0.00000,0.00071,0.00062,0.69488,0.12905,0.02368,0.00638,0.00213,0.00425
0.01386,0.09703,0.70028,0.00046,0.00046,0.00000,0.00026,0.70028,0.09703,0.01419,0.00137,0.00046,0.00092
0.01423,0.09958,0.69991,0.00047,0.00047,0.00047,0.00008,0.69991,0.09958,0.01484,0.00141,0.00047,0.00094
0.02443,0.17099,0.68570,0.00087,0.00000,0.00087,-0.00110,0.68570,0.17099,0.02326,0.00087,0.00087,0.00000
0.01785,0.12497,0.69574,0.00064,0.00064,0.00000,0.00029,0.69574,0.12497,0.01791,0.00387,0.00064,0.00322
0.02174,0.15216,0.69022,0.00078,0.00078,0.00000,-0.00036,0.69022,0.15216,0.02008,0.00157,0.00000,0.00157
0.02504,0.17526,0.68445,0.00000,0.00000,0.00000,0.00042,0.68445,0.17526,0.03132,0.00415,0.00104,0.00311
0.01939,0.13575,0.69366,0.00000,0.00000,0.00075,0.00042,0.69366,0.13575,0.02029,0.00448,0.00075,0.00373
0.01693,0.11852,0.69684,0.00000,0.00000,0.00000,0.00024,0.69684,0.11852,0.02132,0.00179,0.00060,0.00119
0.02643,0.18500,0.68204,0.00085,0.00000,0.00085,-0.00181,0.68204,0.18500,0.02012,0.00767,0.00256,0.00512
0.02433,0.17028,0.68596,0.00081,0.00081,0.00000,-0.00121,0.68596,0.17028,0.01808,0.00161,0.00000,0.00161
0.01845,0.12916,0.69495,0.00066,0.00000,0.00066,-0.00011,0.69495,0.12916,0.01928,0.00197,0.00066,0.00131
0.02795,0.19567,0.67885,0.00100,0.00000,0.00000,-0.00141,0.67885,0.19567,0.03095,0.00299,0.00100,0.00200
0.02125,0.14876,0.69098,0.00000,0.00000,0.00081,-0.00003,0.69098,0.14876,0.01821,0.00488,0.00081,0.00406
0.01931,0.13520,0.69372,0.00071,0.00000,0.00000,0.00017,0.69372,0.13520,0.02364,0.00212,0.00071,0.00142
0.01351,0.09458,0.70061,0.00000,0.00000,0.00000,0.00019,0.70061,0.09458,0.01436,0.00131,0.00044,0.00088
0.02591,0.18136,0.68276,0.00000,0.00000,0.00107,-0.00034,0.68276,0.18136,0.03456,0.00320,0.00107,0.00213
0.02647,0.18531,0.68171,0.00096,0.00000,0.00096,-0.00135,0.68171,0.18531,0.02842,0.01440,0.00288,0.01152
0.01573,0.11012,0.69830,0.00054,0.00000,0.00054,0.00006,0.69830,0.11012,0.01547,0.00161,0.00054,0.00107
0.01844,0.12905,0.69490,0.00000,0.00000,0.00071,0.00062,0.69490,0.12905,0.02368,0.00213,0.00071,0.00142
0.01844,0.12905,0.69490,0.00000,0.00000,0.00000,0.00085,0.69490,0.12905,0.02368,0.00213,0.00071,0.00142
0.01266,0.08864,0.70140,0.00000,0.00000,0.00043,0.00056,0.70140,0.08864,0.01377,0.00387,0.00129,0.00258
0.03340,0.23382,0.66645,0.00113,0.00000,0.00000,-0.00236,0.66645,0.23382,0.03276,0.01017,0.00339,0.00678
0.02496,0.17472,0.68456,0.00102,0.00000,0.00000,0.00026,0.68456,0.17472,0.03086,0.00920,0.00307,0.00613
0.02730,0.19107,0.68008,0.00108,0.00000,0.00000,-0.00074,0.68008,0.19107,0.03454,0.00324,0.00108,0.00216
0.01862,0.13033,0.69462,0.00000,0.00000,0.00000,0.00082,0.69462,0.13033,0.02249,0.01074,0.00215,0.00859
0.01453,0.10171,0.69959,0.00000,0.00000,0.00054,0.00103,0.69959,0.10171,0.01550,0.00269,0.00054,0.00215
0.02943,0.20602,0.67567,0.00111,0.00000,0.00000,-0.00148,0.67567,0.20602,0.03212,0.00997,0.00332,0.00665
