# feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12
26.85714,188.00000,720.00000,1.00000,1.00000,0.00000,-0.85636,720.00000,188.00000,nan,9.00000,3.00000,6.00000
24.42857,171.00000,500.00000,0.00000,1.00000,1.00000,-1.62659,500.00000,171.00000,nan,12.00000,3.00000,9.00000
25.71429,180.00000,840.00000,0.00000,0.00000,1.00000,0.18786,840.00000,180.00000,nan,9.00000,3.00000,6.00000
26.71429,187.00000,530.00000,1.00000,0.00000,1.00000,-2.00486,530.00000,187.00000,nan,9.00000,3.00000,6.00000
23.85714,167.00000,650.00000,0.00000,0.00000,1.00000,0.10828,650.00000,167.00000,nan,9.00000,3.00000,6.00000
25.14286,176.00000,705.00000,0.00000,0.00000,0.00000,-0.01997,705.00000,176.00000,nan,9.00000,3.00000,6.00000
26.28571,184.00000,860.00000,1.00000,1.00000,1.00000,-0.06935,860.00000,184.00000,nan,15.00000,3.00000,12.00000
26.28571,184.00000,500.00000,1.00000,1.00000,1.00000,-2.08620,500.00000,184.00000,nan,9.00000,3.00000,6.00000
24.42857,171.00000,600.00000,0.00000,0.00000,0.00000,-0.39339,600.00000,171.00000,nan,9.00000,3.00000,6.00000
25.71429,180.00000,900.00000,0.00000,0.00000,0.00000,0.92514,900.00000,180.00000,nan,5.00000,1.00000,4.00000
23.42857,164.00000,660.00000,0.00000,0.00000,1.00000,0.60322,660.00000,164.00000,nan,6.00000,1.00000,5.00000
26.00000,182.00000,800.00000,0.00000,0.00000,1.00000,-0.25628,800.00000,182.00000,nan,3.00000,1.00000,2.00000
29.00000,203.00000,1220.00000,0.00000,1.00000,1.00000,-0.01119,1220.00000,203.00000,nan,3.00000,1.00000,2.00000
29.00000,203.00000,1400.00000,0.00000,1.00000,1.00000,0.70488,1400.00000,203.00000,nan,3.00000,1.00000,2.00000
27.71429,194.00000,800.00000,1.00000,0.00000,1.00000,-1.07603,800.00000,194.00000,nan,5.00000,1.00000,4.00000
25.57143,179.00000,810.00000,0.00000,0.00000,1.00000,0.08727,810.00000,179.00000,nan,3.00000,1.00000,2.00000
24.57143,172.00000,740.00000,0.00000,0.00000,1.00000,0.32046,740.00000,172.00000,nan,3.00000,1.00000,2.00000
30.28571,212.00000,1160.00000,1.00000,0.00000,1.00000,-0.88455,1160.00000,212.00000,nan,3.00000,1.00000,2.00000
